ID,A13_1,A13_2,A13_3,A13_4,A13_5,A13_6,AS13_1,AS13_2,AS13_3,AS13_4,AS13_5,AS13_6,W13_1,W13_2,W13_3,W13_4,W13_5,W13_6,WS13_1,WS13_2,WS13_3,WS13_4,WS13_5,WS13_6
OTU_1,948,1937,1791,4142,2876,1181,0,0,7,0,13,14,3418,3747,5319,3042,2293,2404,0,0,0,0,0,0
OTU_2,267,385,2534,430,240,495,0,0,0,81,0,37,218,156,352,365,396,431,0,0,0,0,0,0
OTU_3,0,0,46,174,20,12,266,296,608,741,390,486,0,10,0,220,0,0,408,356,511,348,528,466
OTU_4,138,0,119,163,0,3,930,917,1569,1446,778,1494,156,0,0,0,43,38,870,399,775,343,709,478
OTU_5,0,0,0,0,0,0,159,158,135,348,161,138,0,0,0,0,0,0,95,86,103,93,143,56
OTU_6,0,0,0,0,0,0,32,23,0,175,173,212,0,0,0,0,0,0,148,184,186,21,160,122
OTU_7,0,0,0,0,0,0,119,125,116,194,100,228,0,0,0,0,0,0,145,185,178,140,95,169
OTU_8,0,0,0,0,0,0,65,149,94,171,91,87,0,0,0,0,0,0,100,109,108,75,170,52
OTU_9,70,6,128,38,0,21,1734,1366,2503,2456,1572,2300,85,0,0,296,45,119,1335,1390,1731,1126,1622,1167
OTU_10,0,0,0,0,0,0,0,0,29,167,0,0,0,0,0,0,0,0,0,85,0,0,0,93
OTU_11,43,11,44,0,0,0,179,200,153,164,167,127,0,18,0,48,0,0,154,177,113,101,200,109
OTU_12,0,0,0,7,0,0,158,228,312,422,372,354,0,0,0,0,0,0,173,164,37,234,156,36
OTU_13,0,0,0,0,0,0,149,0,54,35,116,96,0,0,0,0,0,0,0,0,57,101,66,119
OTU_14,10,0,0,30,18,0,216,212,351,261,258,242,0,0,0,0,0,0,74,55,111,226,114,94
OTU_15,0,0,0,0,0,0,11,62,53,0,82,191,0,0,0,0,0,0,78,79,96,156,132,111
OTU_16,10,35,46,25,0,30,843,667,788,984,612,916,37,0,0,40,5,0,493,624,650,806,1226,537
OTU_17,0,0,0,0,0,0,0,188,312,266,138,320,19,93,0,157,16,0,33,126,84,121,51,63
OTU_18,0,0,0,0,0,0,16,27,33,0,0,12,0,4,0,10,0,0,138,78,104,62,125,56
OTU_19,0,0,0,0,0,0,389,388,444,393,396,347,0,0,0,0,0,0,256,250,323,156,291,132
OTU_20,0,0,0,0,0,0,171,198,252,146,114,178,0,0,0,0,0,0,190,106,105,79,144,94
OTU_21,0,0,8,0,0,0,85,78,161,165,75,209,0,0,0,0,0,0,0,53,51,97,156,61
OTU_22,0,0,0,0,0,0,115,98,43,73,105,130,0,0,0,0,0,0,0,0,53,53,72,60
OTU_23,0,0,0,0,0,0,47,28,0,76,56,108,0,0,0,0,0,0,111,108,113,172,100,105
OTU_24,0,0,0,0,0,0,65,106,96,98,63,16,0,0,0,0,0,0,73,63,73,27,130,75
OTU_25,0,0,0,0,0,0,292,262,601,456,279,332,0,27,0,75,0,0,199,246,241,157,288,243
OTU_26,51,0,0,0,0,0,56,0,145,266,63,93,0,0,0,0,5,0,0,0,46,9,12,9
OTU_27,25,15,0,51,7,0,771,900,1155,1268,1078,1215,0,52,0,130,8,0,929,822,825,792,787,842
OTU_28,0,0,0,0,0,0,104,187,127,106,178,201,0,0,0,0,0,0,139,117,184,164,183,182
OTU_29,0,0,0,0,0,0,82,94,54,54,58,63,0,0,0,0,0,0,112,61,113,79,123,77
OTU_30,0,0,0,0,0,0,63,105,0,222,9,0,0,0,0,0,0,0,0,0,8,60,30,0
OTU_31,0,0,0,0,0,0,102,105,86,148,98,81,0,0,0,0,0,0,83,164,176,123,49,84
OTU_32,0,0,0,0,0,0,85,65,133,193,0,31,0,0,0,0,0,0,0,73,0,0,42,55
OTU_33,44,0,0,5,0,0,183,233,284,441,206,271,0,0,0,0,0,0,201,41,38,225,136,97
OTU_34,10,0,15,42,0,0,94,97,151,103,65,158,0,20,0,26,0,0,192,108,211,181,155,71
OTU_35,0,0,0,0,31,0,97,103,51,111,101,125,7,0,0,82,0,0,298,171,252,291,233,241
OTU_36,0,0,0,0,0,0,0,66,15,0,0,61,28,117,0,136,0,0,182,100,198,89,146,219
